timestamps,TP9,AF7,AF8,TP10,Right AUX
1578401992.487,56.152,49.316,62.012,51.758,17.578
1578401992.491,51.270,27.344,44.922,41.016,-19.531
1578401992.495,44.434,32.715,34.668,29.785,31.738
1578401992.499,43.457,40.527,45.410,39.062,7.812
1578401992.503,53.711,39.551,42.969,41.992,-34.668
1578401992.507,47.852,43.457,35.156,25.879,-20.020
1578401992.511,41.504,45.898,42.480,29.297,0.977
1578401992.515,41.992,37.598,36.621,31.738,52.246
1578401992.519,53.223,38.574,38.086,43.457,61.523
1578401992.523,54.688,39.551,38.574,40.039,81.055
1578401992.527,56.152,42.969,54.688,42.480,48.340
1578401992.530,41.992,34.668,53.711,43.457,-15.625
1578401992.534,22.949,28.809,29.297,33.691,7.812
1578401992.538,27.344,40.039,39.062,37.598,43.457
1578401992.542,21.484,24.902,38.574,23.926,48.828
1578401992.546,29.785,27.344,36.133,28.809,4.883
1578401992.550,42.480,50.781,44.434,48.828,-41.016
1578401992.554,30.762,44.434,47.363,46.387,11.719
1578401992.558,20.020,29.785,30.273,20.508,55.176
1578401992.562,26.367,30.762,23.926,14.648,37.598
1578401992.566,31.738,31.250,27.832,21.484,31.738
1578401992.570,33.691,38.574,36.621,31.738,47.852
1578401992.573,37.109,44.922,41.992,50.293,55.664
1578401992.577,46.875,38.086,41.504,47.852,2.930
1578401992.581,51.270,37.598,47.363,36.621,-28.320
1578401992.585,45.410,42.480,35.156,31.250,-44.434
1578401992.589,52.246,47.852,34.668,39.062,-2.441
1578401992.593,46.875,51.758,36.133,41.504,102.051
1578401992.597,34.180,49.316,27.832,27.832,94.727
1578401992.601,31.250,48.340,39.551,24.902,66.406
1578401992.605,47.363,51.270,46.387,42.480,61.523
1578401992.609,49.316,53.711,34.180,48.340,-10.254
1578401992.612,50.781,52.734,41.992,57.129,45.410
1578401992.616,56.152,56.152,45.898,66.895,113.770
1578401992.620,34.180,59.082,32.715,41.016,71.777
1578401992.624,21.973,57.129,31.250,19.531,-5.371
1578401992.628,17.090,58.105,33.203,16.602,-0.488
1578401992.632,4.395,56.641,37.109,12.207,33.691
1578401992.636,2.930,62.500,52.246,11.719,64.453
1578401992.640,-7.324,73.730,67.871,-8.301,68.848
1578401992.644,-6.836,68.848,67.383,-16.602,68.359
1578401992.648,-5.371,70.312,54.199,-27.832,71.777
1578401992.652,-18.066,75.684,60.059,-32.715,38.574
1578401992.655,-25.391,79.590,69.824,-36.621,42.969
1578401992.659,-30.762,87.402,70.801,-53.223,41.992
1578401992.663,-22.461,87.891,60.059,-47.363,-9.766
1578401992.667,-17.090,83.984,55.176,-46.875,13.672
1578401992.671,-23.926,84.961,59.570,-46.875,16.113
1578401992.675,-30.762,87.891,56.641,-40.039,-3.906
1578401992.679,-35.156,82.031,52.246,-46.387,50.781
1578401992.683,-7.812,87.891,58.594,-32.227,45.410
1578401992.687,0.000,81.543,60.059,-19.043,32.715
1578401992.691,-7.812,62.012,47.852,-10.742,45.898
1578401992.695,-1.953,49.805,44.922,2.930,49.316
1578401992.698,6.348,41.992,35.645,12.207,11.230
1578401992.702,24.902,27.344,35.156,26.855,3.418
1578401992.706,49.805,17.578,44.922,50.293,69.336
1578401992.710,63.477,20.020,39.062,72.266,71.289
1578401992.714,76.172,12.207,34.180,83.984,59.570
1578401992.718,89.355,7.324,32.715,88.379,46.387
1578401992.722,87.402,7.324,31.738,88.379,12.695
1578401992.726,92.285,4.883,29.297,86.914,21.973
1578401992.730,105.957,5.371,29.785,93.262,29.785
1578401992.734,117.676,-3.906,20.508,107.422,47.363
1578401992.737,115.723,2.930,11.230,111.816,8.301
1578401992.741,111.816,16.602,18.555,105.957,-15.625
1578401992.745,116.211,14.648,19.531,107.910,1.465
1578401992.749,113.770,12.207,15.137,113.281,13.672
1578401992.753,111.328,19.043,19.043,120.117,-5.859
1578401992.757,121.094,24.414,12.207,126.465,-2.930
1578401992.761,125.000,14.160,8.789,116.699,60.059
1578401992.765,127.930,11.719,9.277,101.074,39.551
1578401992.769,128.418,22.949,12.695,110.352,22.461
1578401992.773,114.746,21.973,18.555,111.816,12.695
1578401992.777,102.539,16.113,14.160,102.051,23.438
1578401992.780,103.027,21.484,15.625,98.633,51.270
1578401992.784,98.633,23.926,18.555,89.355,-18.066
1578401992.788,86.914,18.555,12.695,83.008,13.672
1578401992.792,82.031,12.207,17.578,94.727,97.168
1578401992.796,80.566,11.719,22.461,106.934,58.105
1578401992.800,77.637,10.254,26.855,104.004,40.039
1578401992.804,80.078,3.418,36.133,100.586,55.176
1578401992.808,82.520,9.277,33.203,99.121,13.672
1578401992.812,83.008,21.484,40.039,103.027,8.789
1578401992.816,83.984,24.414,56.641,108.398,8.301
1578401992.820,80.566,19.531,53.711,96.191,0.488
1578401992.823,72.754,12.207,35.645,69.824,22.949
1578401992.827,70.801,19.043,29.785,65.918,-1.465
1578401992.831,82.031,40.527,42.480,88.867,-0.977
1578401992.835,83.984,44.434,39.062,91.797,50.781
1578401992.839,68.848,27.832,29.785,71.777,76.660
1578401992.843,54.688,16.113,28.320,50.293,18.555
1578401992.847,51.758,17.090,18.555,39.551,-20.020
1578401992.851,56.152,16.602,21.973,46.875,11.230
1578401992.855,62.500,19.531,41.016,67.871,82.031
1578401992.859,62.500,28.320,39.551,77.637,83.984
1578401992.862,60.059,25.879,35.645,68.359,28.320
1578401992.866,55.176,21.973,37.598,57.617,41.016
1578401992.870,35.645,19.531,22.949,54.199,41.992
1578401992.874,40.527,24.902,20.020,62.500,59.082
1578401992.878,52.734,30.762,31.738,62.012,64.941
1578401992.882,42.969,25.879,36.621,47.852,15.137
1578401992.886,41.992,32.227,39.062,50.781,-41.992
1578401992.890,49.805,38.574,47.363,60.059,19.531
1578401992.894,44.434,33.203,45.410,51.758,56.152
1578401992.898,45.898,27.832,43.945,47.363,37.109
1578401992.902,45.898,23.926,39.062,39.551,44.434
1578401992.905,37.109,14.160,26.855,26.367,40.039
1578401992.909,41.992,20.020,30.273,34.668,25.391
1578401992.913,42.969,33.203,27.344,42.969,24.414
1578401992.917,38.086,29.297,21.973,37.109,76.660
1578401992.921,49.316,36.621,40.039,41.016,56.641
1578401992.925,61.035,42.480,54.199,51.758,34.180
1578401992.929,56.152,23.438,49.805,52.246,1.953
1578401992.933,56.152,20.020,29.297,53.711,-8.789
1578401992.937,62.988,33.691,28.320,57.617,43.457
1578401992.941,66.406,54.688,41.992,47.363,22.949
1578401992.945,65.918,59.570,33.203,40.039,-0.488
1578401992.948,64.453,41.992,23.926,51.270,41.504
1578401992.952,70.801,36.621,27.832,63.477,90.332
1578401992.956,73.242,44.922,30.273,73.730,103.027
1578401992.960,70.801,49.805,33.203,71.777,31.250
1578401992.964,71.777,46.387,38.574,63.965,37.109
1578401992.968,78.613,47.363,45.410,75.195,93.750
1578401992.972,68.359,42.969,37.598,77.148,34.668
1578401992.976,59.570,37.598,39.551,72.266,27.832
1578401992.980,59.570,41.504,42.969,66.895,34.180
1578401992.984,60.059,44.434,25.391,59.082,-23.926
1578401992.987,51.758,30.762,41.504,52.734,-9.277
1578401992.991,35.645,19.043,60.059,57.617,47.852
1578401992.995,22.949,24.414,47.852,57.129,67.871
1578401992.999,12.207,29.785,35.156,38.574,89.355
1578401993.003,11.230,31.250,21.973,24.902,24.414
1578401993.007,13.672,26.855,13.184,26.367,-16.602
1578401993.011,18.555,37.109,29.785,31.250,-4.883
1578401993.015,24.414,40.527,36.621,31.738,3.906
1578401993.019,30.273,26.855,36.133,35.645,-4.395
1578401993.023,35.156,21.484,42.969,25.879,-20.996
1578401993.027,36.621,24.902,25.879,19.043,-42.969
1578401993.030,45.898,27.344,26.855,32.227,11.230
1578401993.034,54.199,25.879,37.109,43.457,58.594
1578401993.038,59.082,24.414,24.902,49.805,47.363
1578401993.042,68.359,24.902,22.949,53.711,37.598
1578401993.046,76.172,38.574,21.484,49.316,25.391
1578401993.050,82.031,52.734,20.020,61.523,49.316
1578401993.054,63.477,31.738,37.598,75.195,60.547
1578401993.058,45.898,19.043,51.270,66.406,43.457
1578401993.062,44.922,27.344,56.641,56.641,65.430
1578401993.066,29.785,26.855,59.082,44.922,29.785
1578401993.070,18.066,18.555,63.965,41.016,-44.434
1578401993.073,20.996,16.113,66.406,47.363,-27.344
1578401993.077,11.230,16.602,66.406,48.340,13.184
1578401993.081,-0.488,13.184,66.895,35.645,23.926
1578401993.085,10.254,23.438,62.012,31.250,30.273
1578401993.089,23.926,46.875,70.801,37.598,95.215
1578401993.093,13.184,41.504,69.336,31.250,107.910
1578401993.097,3.906,23.438,47.363,23.438,95.215
1578401993.101,15.137,28.809,29.297,16.113,102.051
1578401993.105,32.227,34.180,23.926,17.090,27.344
1578401993.109,39.062,30.762,24.414,19.531,4.883
1578401993.112,44.434,38.086,24.902,36.133,3.906
1578401993.116,53.711,45.410,26.367,61.523,45.410
1578401993.120,56.641,28.320,37.109,59.570,68.848
1578401993.124,55.176,12.207,43.457,51.758,86.914
1578401993.128,55.176,34.668,36.133,52.734,75.195
1578401993.132,47.852,49.805,41.992,51.758,38.574
1578401993.136,42.480,40.039,54.199,49.316,14.160
1578401993.140,33.203,33.691,49.805,35.156,13.672
1578401993.144,27.344,19.531,39.062,25.391,46.387
1578401993.148,32.715,22.949,40.039,34.180,44.922
1578401993.152,22.949,18.555,38.086,44.922,25.391
1578401993.155,23.926,15.137,35.645,54.688,51.758
1578401993.159,30.762,33.691,21.484,50.781,80.566
1578401993.163,21.484,20.996,20.996,34.668,55.664
1578401993.167,25.391,13.184,48.828,41.504,29.785
1578401993.171,20.996,18.066,48.828,39.062,35.156
1578401993.175,20.996,26.367,61.035,54.688,60.059
1578401993.179,36.621,26.855,68.359,72.754,65.918
1578401993.183,38.574,18.555,43.945,57.617,36.621
1578401993.187,26.367,33.691,48.340,51.270,-14.648
1578401993.191,21.484,31.250,64.941,54.688,-15.137
1578401993.195,33.203,31.738,75.195,62.988,22.949
1578401993.198,56.152,53.711,82.031,79.102,27.832
1578401993.202,57.129,50.781,54.199,70.312,20.020
1578401993.206,40.039,29.785,37.598,40.527,15.625
1578401993.210,38.086,19.043,55.176,25.391,41.504
1578401993.214,29.785,13.672,61.523,24.414,38.086
1578401993.218,26.855,10.742,50.781,23.438,7.324
1578401993.222,34.668,20.996,51.270,13.184,-13.672
1578401993.226,44.922,28.320,57.129,21.484,-8.789
1578401993.230,52.734,22.461,45.410,35.156,4.883
1578401993.234,56.152,28.320,41.992,48.828,56.152
1578401993.237,57.617,48.828,53.223,46.387,117.676
1578401993.241,54.688,58.594,56.641,32.715,38.574
1578401993.245,60.059,60.547,44.434,36.133,27.832
1578401993.249,60.059,56.152,40.527,43.457,21.484
1578401993.253,56.152,51.270,49.316,48.340,3.906
1578401993.257,56.641,47.852,65.918,44.434,22.461
1578401993.261,56.152,37.109,70.801,41.016,17.578
1578401993.265,60.547,34.668,67.871,41.016,8.301
1578401993.269,58.594,33.203,58.105,39.062,15.137
1578401993.273,55.664,37.598,43.457,41.016,34.180
1578401993.277,53.711,43.457,36.621,44.922,12.695
